Title,Author,Length
Things Left Unsaid,"By: Serena Akeroyd, G.A. Mazurke",Length: 12 hrs and 34 mins
Indaria,By: SunriseCV,Length: 13 hrs and 57 mins
Alpha,By: Aleron Kong,Length: 13 hrs and 26 mins
The Primal Hunter 9: A LitRPG Adventure,By: Zogarth,Length: 20 hrs and 23 mins
So This Is War,By: Meghan Quinn,Length: 13 hrs and 44 mins
Magic Rises (Dramatized Adaptation),By: Ilona Andrews,Length: 11 hrs
City of the Damned,By: David Guymer,Length: 12 hrs and 56 mins
Red Tithe,By: Robbie MacNiven,Length: 9 hrs and 48 mins
When We Lied,By: Claire Contreras,Length: 13 hrs and 47 mins
Viper,By: Suzanne Wright,Length: 10 hrs
Throne World,By: B.V. Larson,Length: 12 hrs and 29 mins
The Lady's Last Mistake,By: Cara Devlin,Length: 11 hrs and 48 mins
Meditations,By: Marcus Aurelius,Length: 5 hrs and 29 mins
Defiance of the Fall 13,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 35 mins
Sylver Seeker 4,By: Kennit Kenway,Length: 20 hrs and 50 mins
Will Leave the Galaxy for Good,By: Yahtzee Croshaw,Length: 9 hrs and 50 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 11 hrs
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
Truth or Date,By: Portia MacIntosh,Length: 7 hrs and 22 mins
A Cage of Crimson,By: K.F. Breene,Length: 15 hrs and 33 mins
